name,code,id
ABSL Flexi cap regular,103166,flexi_4
Aditya Birla Sun Life Gold Fund - Growth - Direct Plan,120546,hedge_6
Bandhan ELSS Tax saver FundGrowth,111569,flexi_4
Canara Robeco Flexi Cap Fund,101922,flexi_4
Canara Robeco Infrastructure,103390,flexi_4
Canara Robeco Large and Mid Direct,118278,mid_2
Canara Robeco Large Cap Direct,118269,large_3
Canara Robeco Small Cap Fund,146127,small_1
ICICI Pru Nifty 200 momentum 30,150452,flexi_4
ICICI Prudential Balanced Advantage Fund - Direct Plan -  Growth,120377,hybrid_5
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,120722,flexi_4
Invesco India Global Equity Income FOF Direct,129188,hedge_6
Invesco India Midcap Fund Direct,120403,mid_2
Invesco India Multi Asset Allocation Direct,153047,hedge_6
Invesco India Small Cap Fund,145139,small_1
NIPPON INDIA GROWTH FUND,118668,mid_2
NIPPON INDIA RETIREMENT FUND - WEALTH CREATION,133566,large_3
quant Flexi Cap Fund  Direct Plan,120843,flexi_4
quant Focused Fund  Direct Plan,120834,flexi_4
SUNDARAM CONSUMPTION FUND,102142,flexi_4
SUNDARAM ELSS TAX SAVER FUND,149570,flexi_4
SUNDARAM SERVICES FUND REGULAR,144838,flexi_4
Union Balanced Advantage Direct,142038,hybrid_5
Union Multicap Fund  Regular Plan,150855,flexi_4
UTI Nifty Alpha low-volatility 30,153086,flexi_4
UTI Nifty Midsmall 400 mom-QA 100,153272,flexi_4
