name,id,code
HDFC Balanced Advantage Fund - Direct Plan - Growth Option,hybrid_5,118968
HDFC Flexi Cap Fund - Direct Plan - Growth Option,flexi_4,118955
HDFC Hybrid Debt Fund - Direct Plan - Growth Option,hybrid_5,119118
HDFC Index FundNIFTY 50 Plan - Direct Plan,large_3,119063
HDFC NIFTY Next50 Index Fund Direct Growth,large_3,149288
ICICI Prudential Balanced Advantage Fund - Direct Plan - Growth,hybrid_5,120377
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,flexi_4,120722
ICICI Prudential Multi-Asset Fund - Direct Plan - Growth,hedge_6,xxxxxxx
ICICI Prudential Nifty50 Value20 Index Fund - Direct Plan-Growth,large_3,152365
ICICI Prudential Smallcap Fund - Direct Plan - Growth,small_1,120591
ICICI Prudential US Bluechip Equity Fund - Direct Plan - Growth,large_3,120186
Motilal Oswal Midcap Fund-Direct Plan-Growth,mid_2,127042
NIPPON INDIA - US EQUITY OPPORTUNITIES FUND - DIRECT GROWTH PLAN,large_3,134923
NIPPON INDIA BALANCED ADVANTAGE FUND - DIRECT PLAN GROWTH PLAN - GROWTH OPTION,hybrid_5,118736
NIPPON INDIA RETIREMENT FUND - WEALTH CREATION SCHEME - GROWTH PLAN,flexi_4,133565
Parag Parikh Flexi Cap Fund - Direct Plan,flexi_4,122639
SBI Blue Chip Fund - Direct Plan - Growth,large_3,119598
SBI Focused Equity Fund Direct Growth,flexi_4,119727
UTI Nifty Midcap 150 Quality 50 Index Fund - Direct - Growth,mid_2,150313
Aditya Birla Sun Life Balanced Advantage Fund - Growth Direct,hybrid_5,131670
Aditya Birla Sun Life Flexi Cap Fund - Growth-Regular,flexi_4,xxxxxxx
ABSL Global Excellence Equity FoF - Retail - Direct - Growth,large_3,132009
Axis India Manufacturing Fund Regular Growth,flexi_4,152205
JM Aggressive Hybrid Fund - (Regular) - Growth Option,hybrid_5,100221
JM Midcap Fund (Regular) - Growth Option,mid_2,150815
JM Small Cap Fund - (Regular) - Growth Option,small_1,xxxxxxx
Kotak large cap Fund - Direct Plan - Growth,large_3,120152
Kotak Debt Hybrid Fund - Direct Plan - Growth,hybrid_5,120154
Kotak midcap Fund- Direct Plan - Growth,mid_2,119775
Kotak Nifty Midcap 150 Momentum 50 Index Fund-Direct Plan-Growth,mid_2,152916
Kotak Small Cap Fund - Direct Plan - Growth,small_1,120164
Mahindra Manulife Mid Cap Fund - Direct - Growth,mid_2,142110
Mahindra Manulife Multi Cap Fund - Regular - Growth,flexi_4,141224
NIPPON INDIA FLEXI CAP FUND - GROWTH PLAN,flexi_4,149094
SUNDARAM FINANCIAL SERVICES OPPORTUNITIES FUND - REGULAR GROWTH,flexi_4,109059
Union Innovation and Opportunities Fund - Regular Growth,flexi_4,151903
HSBC corporate bond,hybrid_5,150996
Mirae mfg ETF,flexi_4,149790
Quant active,flexi_4,120823
Quant infra,flexi_4,106170
Quant small,small_1,100177
Bandhan Nifty Alpha 50 Index Fund - Direct Plan - Growth,flexi_4,152177
Edelweiss Nifty 100 Quality 30 Index Fund Direct Plan Growth,large_3,149254
